Id;Ref;Label;Type;OnSell;OnBuy;Description;PublicUrl;CustomCode;IDCountry;ProductAccountancySellCode;ProductAccountancySellIntraCode;ProductAccountancySellExportCode;ProductAccountancyBuyCode;ProductAccountancyBuyIntraCode;ProductAccountancyBuyExportCode;NotePrivate;NotePublic;Weight;WeightUnits;Length;LengthUnits;Width;WidthUnits;Height;HeightUnits;Surface;SurfaceUnits;Volume;VolumeUnits;Duration;Nature;PriceBase;UnitPriceHT;UnitPriceTTC;MinPriceHT;MinPriceTTC;VATRate;DateCreation;DateModification;CostPrice;DefaultWarehouse;ManageLotSerial;Stock;StockLimit;DesiredStock;PMPValue;BarCode;Descripción corta;Marca;StockableProduct;Precio Compra con Iva;Url;Supplier;SupplierRef;QtyMin;DiscountQtyMin;BuyingPrice;Unit;Unnamed: 59;Categoria;Imagen
2;8435265309940;Cama Idempet Pequeña;0;1;1;La cama Idempet Pequeña es ideal para perros de tamaño pequeño, proporcionando un lugar acogedor y cómodo para descansar. Con su diseño práctico y suaves materiales, esta cama es perfecta para cualquier dueño que busque ofrecer a su mascota un lugar tranquilo y relajante para dormir.;;;1.0;;;;;;;;;0.0;0;0.0;1.0;0.0;0;0.0;0;0.0;0.0;0.0;1.0;;1;TTC;9.91735537;12.0;0;0;21;3/3/2026 10:39;3/5/2026 12:44;7.1;;0;2;0;0;0;8435265309940;Cama cómoda para perros pequeños;Idempet;1;7.1;;;;;;;;;Perros;8435265309940.jpg
3;8719138018772;Colllar 25 40 Cm;0;1;1;El collar Trixie es una excelente opción para perros de diferentes tamaños, gracias a su ajuste variable que se adapta perfectamente al cuello de tu mascota. Con su diseño resistente y duradero, este collar es ideal para paseos y entrenamientos, ofreciendo comodidad y seguridad para tu perro.;;;1.0;;;;;;;;;0.0;0;40.0;1.0;0.0;0;0.0;0;0.0;0.0;0.0;1.0;;1;TTC;1.07438017;1.3;0;0;21;3/3/2026 10:39;3/5/2026 12:44;0.73;;0;6;1;0;0;8719138018772;Collar ajustable para perros;Trixie;1;0.73;;;;;;;;;Perros;8719138018772.jpg
5;8435265311851;Funda Nido 6 Unidades;0;1;1;La funda nido Idempet es un accesorio esencial para cualquier dueño de aves, proporcionando un lugar limpio y cómodo para que sus mascotas aniden. Con su diseño práctico y fácil de limpiar, esta funda es perfecta para mantener el nido de tus aves en óptimas condiciones, promoviendo la salud y el bienestar de tus mascotas.;;;1.0;;;;;;;;;0.0;0;0.0;1.0;0.0;0;0.0;0;0.0;0.0;0.0;1.0;;1;TTC;2.3553719;2.85;0;0;21;3/3/2026 10:39;3/5/2026 12:44;1.65;;0;3;0;0;0;8435265311851;Funda nido para aves;Idempet;1;1.65;;;;;;;;;Aves;8435265311851.jpg
6;LECHUGA ICEBERG;Lechuga Iceber No;0;1;1;La lechuga Iceber es un alimento fresco y saludable para roedores, proporcionando una fuente natural de vitaminas y minerales esenciales para su bienestar. Con su textura crujiente y sabor delicado, esta lechuga es una excelente opción para agregar variedad a la dieta de tus mascotas roedoras, promoviendo una alimentación equilibrada y saludable.;;;1.0;;;;;;;;;0.0;0;0.0;1.0;0.0;0;0.0;0;0.0;0.0;0.0;1.0;;1;TTC;0.07272727;0.08;0;0;10;3/3/2026 10:39;3/5/2026 12:44;0.05;;0;157;0;0;0;LECHUGA ICEBERG;Lechuga fresca para roedores;Generica;1;0.05;;;;;;;;;Roedores;LECHUGA ICEBERG.jpg
7;MANSION DE HAMSTER;Mansion De Hamster;0;1;1;La mansión Savic es un hogar ideal para hámsters, ofreciendo un espacio amplio y divertido para que tus mascotas exploren y jueguen. Con su diseño colorido y accesorios interactivos, esta mansión es perfecta para estimular la curiosidad y el ejercicio de tus hámsters, promoviendo un estilo de vida activo y saludable.;;;1.0;;;;;;;;;0.0;0;0.0;1.0;0.0;0;0.0;0;0.0;0.0;0.0;1.0;;1;TTC;30.90909091;37.4;0;0;21;3/3/2026 10:39;3/5/2026 12:44;22.09;;0;5;0;0;0;MANSION DE HAMSTER;Mansión para hámsters;Savic;1;22.09;;;;;;;;;Roedores;MANSION DE HAMSTER.jpg
8;5400274971658;Material Cama  Roedor Paper;0;1;1;El material de cama Flamingo es una excelente opción para roedores, proporcionando un lecho suave y absorbente que mantiene a tus mascotas limpias y cómodas. Con su composición ecológica y fácil de limpiar, este material es ideal para cualquier dueño que busque ofrecer a sus roedores un entorno saludable y higiénico.;;;1.0;;;;;;;;;0.0;0;0.0;1.0;0.0;1;0.0;1;0.0;0.0;0.0;1.0;0.0;1;TTC;3.2231405;3.9;0;0;21;3/3/2026 10:39;3/11/2026 9:51;2.28;;0;0;1;0;0;5400274971658;Material de cama para roedores;Flamingo;1;2.28;https://elpajaroblanco.com/producto/material-cama-roedor-paper/;;;;;;;;Roedores;5400274971658.jpg
9;8033866471631;Pasta De Cria Holland Cova Raff 4kg;0;1;1;La pasta de cria Raff es un alimento nutritivo y equilibrado para aves, proporcionando una fuente completa de nutrientes esenciales para su crecimiento y desarrollo. Con su fórmula especializada y ingredientes de alta calidad, esta pasta es ideal para cualquier dueño que busque ofrecer a sus aves una alimentación óptima y saludable, promoviendo un desarrollo sano y vigoroso.;;;1.0;;;;;;;;;4.0;0;0.0;1.0;0.0;0;0.0;0;0.0;0.0;0.0;1.0;;1;TTC;16.73553719;20.25;0;0;21;3/3/2026 10:39;3/5/2026 12:44;13.12;;0;3;0;0;0;8033866471631;Pasta de cria para aves;Raff;1;13.12;;;;;;;;;Aves;8033866471631.jpg
11;8413740501508;Silvestre Premium Premifood 3kg;0;1;1;La comida Silvestre Premium Premifood es una excelente opción para perros, ofreciendo una fórmula nutritiva y equilibrada que satisface las necesidades alimenticias de tus mascotas. Con su composición de ingredientes de alta calidad y su proceso de producción cuidadoso, esta comida es ideal para cualquier dueño que busque ofrecer a su perro una alimentación saludable y deliciosa, promoviendo un bienestar general y una vida larga y feliz.;;;1.0;;;;;;;;;3.0;0;0.0;1.0;0.0;0;0.0;0;0.0;0.0;0.0;1.0;;1;TTC;13.59504132;16.45;0;0;21;3/3/2026 10:39;3/5/2026 12:44;9.75;;0;12;1;0;0;8413740501508;Comida premium para perros;Premifood;1;9.75;;;;;;;;;Perros;8413740501508.jpg
12;TESTUDO MARGINATA 1;Testudo Marginata Cz/Hkk/00220%2025;0;1;1;La tortuga Testudo Marginata es una especie fascinante y única, ofreciendo una oportunidad emocionante para cualquier dueño que busque una mascota exótica y educativa. Con su cuidado y atención especializados, esta tortuga puede vivir una vida larga y saludable, proporcionando una experiencia enriquecedora y gratificante para cualquier dueño que esté dispuesto a ofrecerle el cuidado y la dedicación que necesita.;;;1.0;;;;;;;;;0.0;0;0.0;1.0;0.0;0;0.0;0;0.0;0.0;0.0;1.0;;1;TTC;111.5702479;135.0;0;0;21;3/3/2026 10:39;3/5/2026 12:44;78.65;;0;1;0;0;0;TESTUDO MARGINATA 1;Tortuga Testudo Marginata;Animal Vivo;1;78.65;;;;;;;;;Reptiles;TESTUDO MARGINATA 1.jpg
13;MOLDE0711;VISERA;0;1;1;La visera Leru Leru es un accesorio práctico y divertido para aves, ofreciendo una forma creativa y entretenida de estimular la curiosidad y el ejercicio de tus mascotas. Con su diseño colorido y suaves materiales, esta visera es ideal para cualquier dueño que busque agregar variedad y emoción a la vida de sus aves, promoviendo un estilo de vida activo y saludable.;;;1.0;;;;;;;;;0.0;0;0.0;1.0;0.0;0;0.0;0;0.0;0.0;0.0;1.0;;1;TTC;2.23140496;2.7;0;0;21;3/3/2026 10:39;3/5/2026 12:44;1.5;;0;20;0;0;0;MOLDE0711;Visera para aves;Leru Leru;1;1.5;;;;;;;;;Aves;MOLDE0711.jpg
