Id,Ref,Label,Type,OnSell,OnBuy,Description,PublicUrl,CustomCode,IDCountry,ProductAccountancySellCode,ProductAccountancySellIntraCode,ProductAccountancySellExportCode,ProductAccountancyBuyCode,ProductAccountancyBuyIntraCode,ProductAccountancyBuyExportCode,NotePrivate,NotePublic,Weight,WeightUnits,Length,LengthUnits,Width,WidthUnits,Height,HeightUnits,Surface,SurfaceUnits,Volume,VolumeUnits,Duration,Nature,PriceBase,UnitPriceHT,UnitPriceTTC,MinPriceHT,MinPriceTTC,VATRate,DateCreation,DateModification,CostPrice,DefaultWarehouse,ManageLotSerial,Stock,StockLimit,DesiredStock,PMPValue,BarCode,Descripción corta,Marca,StockableProduct,Precio Compra con Iva,Url,Supplier,SupplierRef,QtyMin,DiscountQtyMin,BuyingPrice,Unit,,Categoria,Imagen
2,8435265309940,1-Cama idempet pequeña,0,1,1,"La cama Idempet Pequeña es el lugar perfecto para que tu perro descanse y se sienta cómodo. Con su diseño ergonómico y su material suave, tu perro se sentirá como en casa. Además, es fácil de limpiar y mantener, lo que te ahorrará tiempo y esfuerzo. Tu perro se lo agradecerá.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,9.91735537,12,0,0,21,3/3/2026 10:39,3/5/2026 12:44,7.1,,0,2,0,0,0,8435265309940,Cama cómoda para perros,Idempet,1,7.1,,,,,,,,,Perros,8435265309940.jpg
3,8719138018772,1-Colllar 25 40 cm,0,1,1,"El collar de 25-40 cm es perfecto para perros de todos los tamaños. Su diseño ajustable y seguro te permite ajustar el tamaño para que se adapte perfectamente a tu perro. Además, es resistente y duradero, lo que te garantiza que durará mucho tiempo. Tu perro estará seguro y cómodo con este collar.",,,1,,,,,,,,,0,0,40,1,0,0,0,0,0,0,0,1,,1,TTC,1.07438017,1.3,0,0,21,3/3/2026 10:39,3/5/2026 12:44,0.73,,0,6,1,0,0,8719138018772,Collar ajustable y seguro,Genérica,1,0.73,,,,,,,,,Perros,8719138018772.jpg
5,8435265311851,1-Funda nido 6 unidades,0,1,1,"La funda nido para 6 unidades es perfecta para criar y cuidar a tus pájaros. Con su diseño práctico y fácil de limpiar, te ahorrará tiempo y esfuerzo. Además, es seguro y cómodo para tus pájaros, lo que les permitirá crecer y desarrollarse de manera saludable. Es ideal para criar varias especies de pájaros a la vez.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,2.3553719,2.85,0,0,21,3/3/2026 10:39,3/5/2026 12:44,1.65,,0,3,0,0,0,8435265311851,Funda nido para pájaros,Genérica,1,1.65,,,,,,,,,Aves,8435265311851.jpg
6,LECHUGA ICEBERG,1-Lechuga iceber no,0,1,1,"La lechuga Iceber es una excelente opción para conejos y otros roedores. Es rica en nutrientes y fibra, lo que la hace ideal para mantener a tu mascota saludable y feliz. Aunque no se especifica la categoría, es probable que sea adecuada para conejos y otros roedores, por lo que es importante consultar con un veterinario antes de cambiar la dieta de tu mascota.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,0.07272727,0.08,0,0,10,3/3/2026 10:39,3/5/2026 12:44,0.05,,0,157,0,0,0,LECHUGA ICEBERG,Lechuga fresca para conejos,Genérica,1,0.05,,,,,,,,,Roedores,LECHUGA ICEBERG.jpg
7,MANSION DE HAMSTER,1-Mansion de hamster,0,1,1,"La mansión de hamster es el lugar perfecto para que tu hamster se sienta como en casa. Con su diseño grande y espacioso, tu hamster tendrá suficiente espacio para correr y jugar. Además, es fácil de limpiar y mantener, lo que te ahorrará tiempo y esfuerzo. Tu hamster se lo agradecerá.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,30.90909091,37.4,0,0,21,3/3/2026 10:39,3/5/2026 12:44,22.09,,0,5,0,0,0,MANSION DE HAMSTER,Mansión para hamsters,Genérica,1,22.09,,,,,,,,,Roedores,MANSION DE HAMSTER.jpg
8,5400274971658,1-Material cama  roedor paper,0,1,1,"El material cama para roedores es perfecto para mantener a tu mascota cómoda y saludable. Con su diseño suave y absorbente, absorbe los olores y la humedad, lo que mantiene a tu mascota seca y cómoda. Además, es fácil de limpiar y reemplazar, lo que te ahorrará tiempo y esfuerzo. Es ideal para hamsters, conejos y otros roedores.",,,1,,,,,,,,,0,0,0,1,0,1,0,1,0,0,0,1,0,1,TTC,3.2231405,3.9,0,0,21,3/3/2026 10:39,3/11/2026 9:51,2.28,,0,0,1,0,0,5400274971658,Material cama para roedores,Genérica,1,2.28,https://elpajaroblanco.com/producto/material-cama-roedor-paper/,,,,,,,,Perros,5400274971658.jpg
9,8033866471631,1-Pasta de cria holland cova raff 4kg,0,1,1,"La pasta de cria Holland Cova Raff de 4kg es una excelente opción para criar y cuidar a tus pájaros. Con su fórmula única y equilibrada, proporciona todos los nutrientes necesarios para mantener a tus pájaros saludables y felices. Es ideal para criar varias especies de pájaros a la vez.",,,1,,,,,,,,,4,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,16.73553719,20.25,0,0,21,3/3/2026 10:39,3/5/2026 12:44,13.12,,0,3,0,0,0,8033866471631,Pasta de cria para pájaros,Holland Cova Raff,1,13.12,,,,,,,,,Aves,8033866471631.jpg
11,8413740501508,1-Silvestre premium premifood 3kg,0,1,1,"Ofrece una nutrición equilibrada y completa para tu mascota, con ingredientes de alta calidad que promueven la salud y el bienestar de tu compañero canino. Con Silvestre Premium Premifood, puedes estar seguro de que estás brindando lo mejor para tu perro.",,,1,,,,,,,,,3,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,13.59504132,16.45,0,0,21,3/3/2026 10:39,3/5/2026 12:44,9.75,,0,12,1,0,0,8413740501508,Alimento premium para perros,PREMIFOOD,1,9.75,,,,,,,,,Perros,8413740501508.jpg
12,TESTUDO MARGINATA 1,1-Testudo marginata cz/hkk/00220%2025,0,1,1,"Diseñado específicamente para satisfacer las necesidades nutricionales de las tortugas, este alimento proporciona los nutrientes esenciales para un crecimiento saludable y una vida larga. Con Testudo Marginata, puedes ofrecer a tu tortuga la mejor oportunidad para prosperar.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,111.5702479,135,0,0,21,3/3/2026 10:39,3/5/2026 12:44,78.65,,0,1,0,0,0,TESTUDO MARGINATA 1,Alimento para tortugas,Genérica,1,78.65,,,,,,,,,Reptiles,TESTUDO MARGINATA 1.jpg
13,MOLDE0711,1-Visera,0,1,1,"Protege a tu ave de la luz directa y el calor excesivo con nuestra visera diseñada específicamente para jaulas de pájaros. Fácil de instalar y limpiar, esta visera es una excelente manera de mantener a tu pájaro cómodo y feliz en su hogar.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,2.23140496,2.7,0,0,21,3/3/2026 10:39,3/5/2026 12:44,1.5,,0,20,0,0,0,MOLDE0711,Visera para pájaros,Genérica,1,1.5,,,,,,,,,Aves,MOLDE0711.jpg
14,5021689019201,1-46034,0,1,1,"Nuestro alimento para roedores es una mezcla cuidadosamente seleccionada de ingredientes nutritivos que satisfacen las necesidades dietéticas de tus pequeños amigos. Con una fórmula equilibrada y deliciosa, este alimento es perfecto para mantener a tus roedores saludables y felices.",,,1,,,,,,,,,0,0,0,1,0,1,0,1,0,0,0,1,0,1,TTC,2.0661157,2.5,0,0,21,3/3/2026 10:39,3/11/2026 9:51,1.42,,0,10,2,0,0,5021689019201,Alimento para roedores,Genérica,1,1.42,https://elpajaroblanco.com/producto/12/,,,,,,,,Roedores,5021689019201.jpg
15,8413585470458,1-46048,0,1,1,"Nuestro alimento para perros adultos es formulado para satisfacer las necesidades nutricionales de los perros en esta etapa de su vida. Con una mezcla de nutrientes esenciales y vitaminas, este alimento ayuda a mantener la salud y el bienestar de tu perro, asegurando que siga siendo activo y feliz durante años.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,24.54545455,27,0,0,10,3/3/2026 10:39,3/5/2026 12:44,18.27,,0,7,3,0,0,8413585470458,Alimento para perros adultos,Genérica,1,18.27,,,,,,,,,Perros,8413585470458.jpg
16,3664471004744,1-474,0,1,1,"Diseñado para satisfacer las necesidades nutricionales específicas de los reptiles, nuestro alimento proporciona una fuente concentrada de nutrientes esenciales para un crecimiento saludable y una vida larga. Con una fórmula cuidadosamente equilibrada, este alimento es perfecto para mantener a tus reptiles felices y saludables.",,,1,,,,,,,,,0,0,0,1,0,1,0,1,0,0,0,1,0,1,TTC,17.85123967,21.6,0,0,21,3/3/2026 10:39,3/11/2026 9:49,12.74,,0,0,0,0,0,3664471004744,Alimento para reptiles,Genérica,1,12.74,https://elpajaroblanco.com/producto/474/,,,,,,,,Reptiles,3664471004744.jpg
17,8413204810016,1-46027,0,1,1,"Nuestros snacks para perros son una excelente manera de recompensar y motivar a tu mascota. Hechos con ingredientes naturales y nutritivos, estos snacks son fáciles de digerir y proporcionan una fuente de energía saludable para tu perro.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,6.52892562,7.9,0,0,21,3/3/2026 10:39,3/5/2026 12:44,4.64,,0,6,0,0,0,8413204810016,Snack para perros,Genérica,1,4.64,,,,,,,,,Perros,8413204810016.jpg
18,5400351162429,1-5400350000000,0,1,1,"Mantén a tu pájaro entretenido y estimulado con nuestros juguetes diseñados específicamente para aves. Con una variedad de texturas, colores y formas, estos juguetes son perfectos para mantener a tu pájaro activo y feliz, promoviendo un comportamiento saludable y reduciendo el estrés.",,,1,,,,,,,,,0,0,0,1,0,1,0,1,0,0,0,1,0,1,TTC,1.54545455,1.7,0,0,10,3/3/2026 10:39,3/11/2026 9:52,1.09,,0,12,0,0,0,5400351162429,Juguetes para pájaros,Genérica,1,1.09,https://elpajaroblanco.com/producto/5400351162429/,,,,,,,,Aves,5400351162429.jpg
20,5410340603734,1-5410340000000,0,1,1,"Mantén a tu perro limpio y fresco con nuestro shampoo diseñado específicamente para la piel canina. Con ingredientes naturales y suaves, este shampoo es perfecto para limpiar y cuidar la piel de tu perro, reduciendo la caspa y el olor desagradable, y dejando a tu mascota con un pelaje saludable y brillante.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,15.63636364,17.2,0,0,10,3/3/2026 10:39,3/5/2026 12:44,11.15,,0,1,0,0,0,5410340603734,Shampoo para perros,Genérica,1,11.15,,,,,,,,,Perros,5410340603734.jpg
21,5600447703554,1-5600450000000,0,1,1,"Nuestro alimento para pájaros es una mezcla equilibrada de nutrientes y vitaminas que garantiza la salud y el bienestar de tus aves. Con ingredientes de alta calidad y sin conservantes, este alimento es perfecto para mantener a tus pájaros felices y saludables.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,4.46280992,5.4,0,0,21,3/3/2026 10:39,3/5/2026 12:44,3.15,,0,9,0,0,0,5600447703554,Alimento para pájaros,Genérica,1,3.15,,,,,,,,,Aves,5600447703554.jpg
22,606707825696,1-606708000000,0,1,1,"Nuestros juguetes para pájaros están diseñados para estimular la mente y el cuerpo de tus aves. Con una variedad de texturas, colores y formas, estos juguetes mantendrán a tus pájaros entretenidos y activos, reduciendo el estrés y la ansiedad.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,21.54545455,23.7,0,0,10,3/3/2026 10:39,3/5/2026 12:44,15.37,,0,0,0,0,0,606707825696,Juguetes para pájaros,Genérica,1,15.37,,,,,,,,,Aves,606707825696.jpg
23,3664471004287,1-8411510000000,0,1,1,"Nuestro alimento para reptiles es una fórmula especializada que cubre las necesidades nutricionales de tus reptiles. Con una mezcla de nutrientes y vitaminas esenciales, este alimento garantiza el crecimiento y el bienestar de tus reptiles, ya sean tortugas, lagartos o serpientes.",,,1,,,,,,,,,0,0,0,1,0,1,0,1,0,0,0,1,0,1,TTC,6.7768595,8.2,0,0,21,3/3/2026 10:39,3/11/2026 9:49,4.83,,0,4,1,0,0,3664471004287,Alimento para reptiles,Genérica,1,4.83,https://elpajaroblanco.com/producto/8411514802530/,,,,,,,,Reptiles,3664471004287.jpg
24,SERRIN,1-Serrin,0,1,1,"Nuestro alimento para roedores es una mezcla equilibrada de nutrientes y vitaminas que garantiza la salud y el bienestar de tus roedores. Con ingredientes de alta calidad y sin conservantes, este alimento es perfecto para mantener a tus roedores felices y saludables, ya sean conejos, hámsters o ratones.",,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,,1,TTC,1.40495868,1.7,0,0,21,3/3/2026 10:39,3/5/2026 12:44,1,,0,14,0,0,0,SERRIN,Alimento para roedores,Genérica,1,1,,,,,,,,,Roedores,SERRIN.jpg
